SLUG,WEBSITE,ECOMMERCE,CHANNEL
ilovepinch-ecommerce,https://ilovepinch.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
sobeauty-ecommerce,https://sobeautymakeup.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
nacarada-ecommerce,https://nacarada.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
benedyctina-ecommerce,https://benedyctina.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
walky-ecommerce,https://walky.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
meikrem-ecommerce,https://meikrem.com/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
xticolombia-ecommerce,https://xti.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
sabehospa-ecommerce,https://sabehospa.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
planetasport-ecommerce,https://www.planetasport.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
kuwai-ecommerce,https://soykuwai.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
curlylovers-ecommerce,https://curlylovers.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
feliciamakeup-ecommerce,https://feliciamakeup.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
beltinnishoes-ecommerce,https://beltinni.co,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
gtechsystems-ecommerce,https://gtech.systems/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
